state,district,year_cleaned,crop,production,yield,annual_rainfall
Andhra Pradesh,NIZAMABAD,2001,Arhar/Tur,565.0,0.2160611854684512,1009.3
Andhra Pradesh,NIZAMABAD,2001,Arhar/Tur,9.0,0.225,1009.3
Andhra Pradesh,NIZAMABAD,2002,Arhar/Tur,749.0,0.37375249500998,703.2
Andhra Pradesh,NIZAMABAD,2002,Arhar/Tur,,0.0,703.2
Andhra Pradesh,NIZAMABAD,2003,Arhar/Tur,813.0,0.3359504132231405,1096.8
Andhra Pradesh,NIZAMABAD,2003,Arhar/Tur,3.0,0.3333333333333333,1096.8
Andhra Pradesh,PRAKASAM,2001,Arhar/Tur,29139.0,0.4809923903534111,1009.3
Andhra Pradesh,PRAKASAM,2001,Arhar/Tur,321.0,0.4812593703148425,1009.3
Andhra Pradesh,PRAKASAM,2002,Arhar/Tur,12271.0,0.2240010222522407,703.2
Andhra Pradesh,PRAKASAM,2002,Arhar/Tur,146.0,0.2246153846153846,703.2
Andhra Pradesh,PRAKASAM,2003,Arhar/Tur,27125.0,0.3459953824763703,1096.8
Andhra Pradesh,PRAKASAM,2003,Arhar/Tur,138.0,0.3467336683417085,1096.8
Andhra Pradesh,RANGAREDDI,2001,Arhar/Tur,14567.0,0.4389898441973299,1009.3
Andhra Pradesh,RANGAREDDI,2002,Arhar/Tur,19151.0,0.585013440860215,703.2
Andhra Pradesh,RANGAREDDI,2003,Arhar/Tur,26306.0,0.735009779267952,1096.8
Andhra Pradesh,SPSR NELLORE,2001,Arhar/Tur,375.0,0.583203732503888,1009.3
Andhra Pradesh,SPSR NELLORE,2001,Arhar/Tur,63.0,0.5833333333333334,1009.3
Andhra Pradesh,SPSR NELLORE,2002,Arhar/Tur,141.0,0.3507462686567164,703.2
Andhra Pradesh,SPSR NELLORE,2002,Arhar/Tur,203.0,0.3506044905008635,703.2
Andhra Pradesh,SPSR NELLORE,2003,Arhar/Tur,1112.0,0.4231354642313546,1096.8
Andhra Pradesh,SPSR NELLORE,2003,Arhar/Tur,248.0,0.4232081911262799,1096.8
Andhra Pradesh,SRIKAKULAM,2001,Arhar/Tur,813.0,0.5827956989247312,1009.3
Andhra Pradesh,SRIKAKULAM,2002,Arhar/Tur,533.0,0.3499671700590939,703.2
Andhra Pradesh,SRIKAKULAM,2003,Arhar/Tur,665.0,0.4227590591226955,1096.8
Andhra Pradesh,VISAKHAPATANAM,2001,Arhar/Tur,1507.0,0.310913967402517,1009.3
Andhra Pradesh,VISAKHAPATANAM,2001,Arhar/Tur,15.0,0.3191489361702128,1009.3
Andhra Pradesh,VISAKHAPATANAM,2002,Arhar/Tur,1575.0,0.3350350989151244,703.2
Andhra Pradesh,VISAKHAPATANAM,2003,Arhar/Tur,2188.0,0.5119326158165652,1096.8
Andhra Pradesh,VISAKHAPATANAM,2003,Arhar/Tur,3.0,0.5,1096.8
Andhra Pradesh,VIZIANAGARAM,2001,Arhar/Tur,765.0,0.5826351865955827,1009.3
Andhra Pradesh,VIZIANAGARAM,2002,Arhar/Tur,555.0,0.3497164461247637,703.2
Andhra Pradesh,VIZIANAGARAM,2003,Arhar/Tur,791.0,0.4227685729556387,1096.8
Andhra Pradesh,WARANGAL,2001,Arhar/Tur,13302.0,0.5410176109326067,1009.3
Andhra Pradesh,WARANGAL,2001,Arhar/Tur,172.0,0.5408805031446541,1009.3
Andhra Pradesh,WARANGAL,2002,Arhar/Tur,9227.0,0.4349691227077735,703.2
Andhra Pradesh,WARANGAL,2002,Arhar/Tur,775.0,0.4349046015712682,703.2
Andhra Pradesh,WARANGAL,2003,Arhar/Tur,11501.0,0.418995227512842,1096.8
Andhra Pradesh,WARANGAL,2003,Arhar/Tur,604.0,0.4188626907073509,1096.8
Andhra Pradesh,WEST GODAVARI,2001,Arhar/Tur,106.0,0.5824175824175825,1009.3
Andhra Pradesh,WEST GODAVARI,2001,Arhar/Tur,6.0,0.6,1009.3
Andhra Pradesh,WEST GODAVARI,2002,Arhar/Tur,86.0,0.3510204081632653,703.2
Andhra Pradesh,WEST GODAVARI,2002,Arhar/Tur,29.0,0.3536585365853658,703.2
Andhra Pradesh,WEST GODAVARI,2003,Arhar/Tur,244.0,0.4228769497400346,1096.8
Andhra Pradesh,WEST GODAVARI,2003,Arhar/Tur,50.0,0.4201680672268907,1096.8
Andhra Pradesh,ADILABAD,2001,Bajra,293.0,0.4665605095541401,1009.3
Andhra Pradesh,ADILABAD,2002,Bajra,455.0,0.4739583333333333,703.2
Andhra Pradesh,ADILABAD,2003,Bajra,1112.0,0.610989010989011,1096.8
Andhra Pradesh,ANANTAPUR,2001,Bajra,526.0,0.3297805642633228,1009.3
Andhra Pradesh,ANANTAPUR,2001,Bajra,9.0,0.3333333333333333,1009.3
Andhra Pradesh,ANANTAPUR,2002,Bajra,581.0,0.3018181818181818,703.2
Andhra Pradesh,ANANTAPUR,2002,Bajra,39.0,0.3023255813953488,703.2
Andhra Pradesh,ANANTAPUR,2003,Bajra,378.0,0.1657894736842105,1096.8
Andhra Pradesh,ANANTAPUR,2003,Bajra,19.0,0.168141592920354,1096.8
Andhra Pradesh,CHITTOOR,2001,Bajra,3556.0,1.2119972733469666,1009.3
Andhra Pradesh,CHITTOOR,2001,Bajra,313.0,1.2131782945736431,1009.3
Andhra Pradesh,CHITTOOR,2002,Bajra,1171.0,0.4949281487743026,703.2
Andhra Pradesh,CHITTOOR,2002,Bajra,21.0,0.5,703.2
Andhra Pradesh,CHITTOOR,2003,Bajra,3611.0,1.6671283471837488,1096.8
Andhra Pradesh,CHITTOOR,2003,Bajra,60.0,1.6666666666666667,1096.8
Andhra Pradesh,EAST GODAVARI,2001,Bajra,2048.0,0.9229382604776928,1009.3
Andhra Pradesh,EAST GODAVARI,2002,Bajra,1051.0,0.8787625418060201,703.2
Andhra Pradesh,EAST GODAVARI,2003,Bajra,2301.0,0.8528539659006672,1096.8
Andhra Pradesh,GUNTUR,2001,Bajra,76.0,0.987012987012987,1009.3
Andhra Pradesh,GUNTUR,2001,Bajra,43.0,1.0,1009.3
Andhra Pradesh,GUNTUR,2002,Bajra,356.0,0.8496420047732697,703.2
Andhra Pradesh,GUNTUR,2002,Bajra,5.0,0.8333333333333334,703.2
Andhra Pradesh,GUNTUR,2003,Bajra,21839.0,1.3579778634498196,1096.8
Andhra Pradesh,GUNTUR,2003,Bajra,268.0,1.3604060913705585,1096.8
Andhra Pradesh,KADAPA,2001,Bajra,2514.0,1.8021505376344087,1009.3
Andhra Pradesh,KADAPA,2001,Bajra,2746.0,1.8018372703412076,1009.3
Andhra Pradesh,KADAPA,2002,Bajra,2814.0,0.9818562456385206,703.2
Andhra Pradesh,KADAPA,2002,Bajra,661.0,0.9807121661721068,703.2
Andhra Pradesh,KADAPA,2003,Bajra,3829.0,0.883887349953832,1096.8
Andhra Pradesh,KADAPA,2003,Bajra,877.0,0.8840725806451613,1096.8
Andhra Pradesh,KARIMNAGAR,2001,Bajra,220.0,0.4670912951167728,1009.3
Andhra Pradesh,KARIMNAGAR,2002,Bajra,156.0,0.4727272727272727,703.2
Andhra Pradesh,KARIMNAGAR,2003,Bajra,574.0,0.6112886048988285,1096.8
Andhra Pradesh,KHAMMAM,2001,Bajra,58.0,0.4677419354838709,1009.3
Andhra Pradesh,KHAMMAM,2001,Bajra,34.0,0.4657534246575342,1009.3
Andhra Pradesh,KHAMMAM,2002,Bajra,138.0,0.4726027397260274,703.2
Andhra Pradesh,KHAMMAM,2002,Bajra,11.0,0.4583333333333333,703.2
Andhra Pradesh,KHAMMAM,2003,Bajra,412.0,0.6103703703703703,1096.8
Andhra Pradesh,KHAMMAM,2003,Bajra,37.0,0.6065573770491803,1096.8
Andhra Pradesh,KRISHNA,2003,Bajra,14.0,1.4,1096.8
Andhra Pradesh,KURNOOL,2001,Bajra,11062.0,0.7939994257823715,1009.3
Andhra Pradesh,KURNOOL,2001,Bajra,146.0,0.7934782608695652,1009.3
Andhra Pradesh,KURNOOL,2002,Bajra,6863.0,0.6629636785162287,703.2
Andhra Pradesh,KURNOOL,2002,Bajra,240.0,0.6629834254143646,703.2
Andhra Pradesh,KURNOOL,2003,Bajra,17707.0,1.1969850605015886,1096.8
Andhra Pradesh,KURNOOL,2003,Bajra,282.0,1.194915254237288,1096.8
Andhra Pradesh,MAHBUBNAGAR,2001,Bajra,8617.0,0.4800022281639928,1009.3
Andhra Pradesh,MAHBUBNAGAR,2001,Bajra,14.0,0.4827586206896552,1009.3
Andhra Pradesh,MAHBUBNAGAR,2002,Bajra,6498.0,0.5510048333757314,703.2
Andhra Pradesh,MAHBUBNAGAR,2002,Bajra,1.0,1.0,703.2
